Addr: 00077688, Data 002e
Addr: 0007779e, Data 0046
Addr: 0007779f, Data ffbb
Addr: 000777a0, Data ffa6
Addr: 000777a1, Data 006f
Addr: 000777a2, Data ffe7
Addr: 000777a3, Data 0062
Addr: 000777a4, Data ff57
Addr: 000777a5, Data ffad
Addr: 000777a6, Data 009d
Addr: 000777a7, Data ffad
Addr: 000777a8, Data 007a
Addr: 000777a9, Data 004b
Addr: 000777aa, Data 008a
Addr: 000777ab, Data 009b
Addr: 000777ac, Data ffd4
Addr: 000777ad, Data ffa7
Addr: 000777ae, Data 005f
Addr: 000777af, Data ffa2
Addr: 000777b0, Data 0017
Addr: 000777b1, Data 008d
Addr: 000777b2, Data ffad
Addr: 000777b3, Data ffe1
Addr: 000777b4, Data 000d
Addr: 000777b5, Data 0057
Addr: 000777b6, Data ff5e
Addr: 000777b7, Data 001e
Addr: 000777b8, Data fffb
Addr: 000777b9, Data ffd5
Addr: 000777ba, Data 0030
Addr: 000777bb, Data 00af
Addr: 000777bc, Data ff6d
Addr: 000777bd, Data ffee
Addr: 000777be, Data ff75
Addr: 000777bf, Data ff5a
Addr: 000777c0, Data ff90
Addr: 000777c1, Data 0093
Addr: 000777c2, Data 0069
Addr: 000777c3, Data 00b6
Addr: 000777c4, Data 002a
Addr: 000777c5, Data ffdc
Addr: 000777c6, Data ff9a
Addr: 000777c7, Data ff78
Addr: 000777c8, Data ffda
Addr: 000777c9, Data 004d
Addr: 000777ca, Data 0033
Addr: 000777cb, Data 003d
Addr: 000777cc, Data ffe0
Addr: 000777cd, Data ffe3
Addr: 000777ce, Data ffbf
Addr: 000777cf, Data 0037
Addr: 000777d0, Data 000d
Addr: 000777d1, Data fff0
Addr: 000777d2, Data fff8
Addr: 000777d3, Data ff77
Addr: 000777d4, Data fffc
Addr: 000777d5, Data ffaf
Addr: 000777d6, Data ff52
Addr: 000777d7, Data 0049
Addr: 000777d8, Data ffc5
Addr: 000777d9, Data ffb0
Addr: 000777da, Data 0050
Addr: 000777db, Data 0011
Addr: 000777dc, Data 0047
Addr: 000777dd, Data 0122
Addr: 000777de, Data 006a
Addr: 000777df, Data ffc3
Addr: 000777e0, Data 0006
Addr: 000777e1, Data 005d
Addr: 000777e2, Data 0057
Addr: 000777e3, Data ffb7
Addr: 000777e4, Data 0062
Addr: 000777e5, Data 0071
Addr: 000777e6, Data fff7
Addr: 000777e7, Data ffbb
Addr: 000777e8, Data ff72
Addr: 000777e9, Data ff9a
Addr: 000777ea, Data 00fb
Addr: 000777eb, Data 0015
Addr: 000777ec, Data ffc9
Addr: 000777ed, Data ffe6
Addr: 000777ee, Data ffbc
Addr: 000777ef, Data ff8b
Addr: 000777f0, Data ffc0
Addr: 000777f1, Data 001b
Addr: 000777f2, Data ffb7
Addr: 000777f3, Data fffe
Addr: 000777f4, Data ffe7
Addr: 000777f5, Data ffde
Addr: 000777f6, Data 000c
Addr: 000777f7, Data ffea
Addr: 000777f8, Data 001d
Addr: 000777f9, Data 007c
Addr: 000777fa, Data ff9f
Addr: 000777fb, Data 0032
Addr: 000777fc, Data 0068
Addr: 000777fd, Data 0088
Addr: 000777fe, Data 0017
Addr: 000777ff, Data 0064
Addr: 00077800, Data 000f
Addr: 00077801, Data ff34
Addr: 00077802, Data ffcb
Addr: 00077803, Data ffb8
Addr: 00077804, Data ffa8
Addr: 00077805, Data 000a
Addr: 00077806, Data ffbc
Addr: 00077807, Data ffd6
Addr: 00077808, Data ffa1
Addr: 00077809, Data ff53
Addr: 0007780a, Data 002d
Addr: 0007780b, Data 0007
Addr: 0007780c, Data ffc2
Addr: 0007780d, Data 005a
Addr: 0007780e, Data ff29
Addr: 0007780f, Data fff6
Addr: 00077810, Data fffe
Addr: 00077811, Data 003b
Addr: 00077812, Data 0131
Addr: 00077813, Data ffb9
Addr: 00077814, Data ffbb
Addr: 00077815, Data 000f
Addr: 00077816, Data 004f
Addr: 00077817, Data 0074
Addr: 00077818, Data 0012
Addr: 00077819, Data 0041
Addr: 0007781a, Data ffd8
Addr: 0007781b, Data ffc3
Addr: 0007781c, Data ffb4
Addr: 0007781d, Data ff3f
Addr: 0007781e, Data ffcb
Addr: 0007781f, Data 00cd
Addr: 00077820, Data ff6d
Addr: 00077821, Data ffca
Addr: 00077822, Data 0027
Addr: 00077823, Data 002b
Addr: 00077824, Data ff9b
Addr: 00077825, Data ffe2
Addr: 00077826, Data 000f
Addr: 00077827, Data ffe3
Addr: 00077828, Data 005f
Addr: 00077829, Data 002f
Addr: 0007782a, Data 009c
Addr: 0007782b, Data 0061
Addr: 0007782c, Data 0077
Addr: 0007782d, Data ff94
Addr: 0007782e, Data fff7
Addr: 0007782f, Data ffba
Addr: 00077830, Data 0037
Addr: 00077831, Data 004a
Addr: 00077832, Data ffcd
Addr: 00077833, Data ff83
Addr: 00077834, Data ffa1
Addr: 00077835, Data ff52
Addr: 00077836, Data fff3
Addr: 00077837, Data fff3
Addr: 00077838, Data 004a
Addr: 00077839, Data ffa2
Addr: 0007783a, Data 0020
Addr: 0007783b, Data ff65
Addr: 0007783c, Data 0019
Addr: 0007783d, Data 0003
Addr: 0007783e, Data ffd4
Addr: 0007783f, Data 0021
Addr: 00077840, Data 0034
Addr: 00077841, Data 0006
Addr: 00077842, Data ff8c
Addr: 00077843, Data 003f
Addr: 00077844, Data ffc9
Addr: 00077845, Data ffd4
Addr: 00077846, Data ffe8
Addr: 00077847, Data ff8a
Addr: 00077848, Data 003d
Addr: 00077849, Data 000f
Addr: 0007784a, Data 006b
Addr: 0007784b, Data 0058
Addr: 0007784c, Data ffc2
Addr: 0007784d, Data ff64
Addr: 0007784e, Data 0052
Addr: 0007784f, Data 0008
Addr: 00077850, Data ffaf
Addr: 00077851, Data 0015
Addr: 00077852, Data ffc0
Addr: 00077853, Data ffba
Addr: 00077854, Data 002e
Addr: 00077855, Data 0043
Addr: 00077856, Data 0046
Addr: 00077857, Data fff5
Addr: 00077858, Data 009f
Addr: 00077859, Data 0029
Addr: 0007785a, Data fff8
Addr: 0007785b, Data 00ce
Addr: 0007785c, Data 0041
Addr: 0007785d, Data fffc
Addr: 0007785e, Data 0047
Addr: 0007785f, Data ffbc
Addr: 00077860, Data 0051
Addr: 00077861, Data 003b
Addr: 00077862, Data ffec
Addr: 00077863, Data ff80
Addr: 00077864, Data 0058
Addr: 00077865, Data 0015
Addr: 00077866, Data 004f
Addr: 00077867, Data ff4a
Addr: 00077868, Data ffbe
Addr: 00077869, Data 006f
Addr: 0007786a, Data 0035
Addr: 0007786b, Data ffd1
Addr: 0007786c, Data fffd
Addr: 0007786d, Data ffe5
Addr: 0007786e, Data 0014
Addr: 0007786f, Data ff81
Addr: 00077870, Data 00d0
Addr: 00077871, Data ffa5
Addr: 00077872, Data ffc1
Addr: 00077873, Data 0008
Addr: 00077874, Data ff8a
Addr: 00077875, Data ffaa
Addr: 00077876, Data ffb9
Addr: 00077877, Data 00a6
Addr: 00077878, Data ff7e
Addr: 00077879, Data 003d
Addr: 0007787a, Data 0060
Addr: 0007787b, Data ffbb
Addr: 0007787c, Data 0000
Addr: 0007787d, Data 0000
Addr: 0007787e, Data 0000
Addr: 0007787f, Data 0000
